Language,Default
MessageTip_010,"Инфекция распространяется быстрее по мере того, как ее количество увеличивается, и поражает другие соседние районы."
MessageTip_011,"Нажмите клавишу {KeyboardControl_CameraPan} и (Middle Mouse Click) и потяните чтобы управлять камерой."
MessageTip_012,"Вы можете использовать (Mouse Scroll) чтобы переключаться между разделами инвентаря."
NewCraftItem,"Новый Предмет Для Создания:"
Collect_Difficulty_None,Очень Легко
Collect_Difficulty_Easy,Легко
Collect_Difficulty_Normal,Нормально
Collect_Difficulty_Difficult,Сложно
Collect_Difficulty_Hard,Трудно
Collect_Difficulty_VeryHard,Очень Трудно
Collect_Difficulty_Impossible,Невозможно
ProficiencyMax,Достигнут Максимальный Уровень Мастерства
AttributeMax,Максимальный Уровень Атрибута Достигнут
Minimap_FacilityUpgrade,Улучшение Комплекса
Minimap_MainQuest,Основная Задача
Minimap_FriendlyUnit,Дружественная Единица
Minimap_HostileUnit,Враждебная Единица
DifficultySetting_Title,Настроить Уровень Сложности
DifficultySetting_CurrentDifficulty,Текущая Сложность
DifficultySetting_Detail,Информация о Настроике
DifficultySetting_InfectionTitle,Инфекция
DifficultySetting_CombatTitle,Сражения
DifficultySetting_CampResource,Использование Ресурсов Лагерем
DifficultySetting_ProductionCostTitle,Стоимость Производства
DifficultySetting_InvasionTitle,Нашествия
DifficultySetting_MapQuestTrackingTitle,Отслеживание Задач На Карте
DifficultySetting_EvolutionProgression,Скорость Эволюции
DifficultySetting_Choice_Enable,Включено
DifficultySetting_Choice_Disable,Отключено
DifficultySetting_Choice_Player,Игрок
DifficultySetting_Choice_Natural,Естественное
DifficultySetting_Easy,ЛЕГКО
DifficultySetting_Normal,НОРМАЛЬНО
DifficultySetting_Hard,ТЯЖЕЛО
DifficultySetting_Difficult,НАКАЗАНИЕ
DifficultySetting_Nightmare,КОШМАР
DifficultySetting_Detail_Infection,"Множитель инфекиии: "
DifficultySetting_Detail_DamageMul,"Множитель урона врагов: "
DifficultySetting_Detail_ProtectionMul,"Множитель защиты врагов: "
DifficultySetting_Detail_CampResourceMul,"Множитель ресурсов лагеря: "
DifficultySetting_Detail_ProductionCostMul,"Множитель стоимости производства: "
DifficultySetting_Detail_ProductionQueueLimit,"Лимит очереди производства: "
DifficultySetting_Detail_ItemPurchaseMul,"Множитель цен на предметы: "
DifficultySetting_Detail_Invasion,"Нашествие: "
DifficultySetting_Detail_MapTracking,"Отслеживание Задач На Карте: "
DifficultySetting_Detail_Evolution,"Тип эволюции: "
DifficultySetting_Tooltip_Infection,"Уровень Заражения определяет скорость, с которой инфекция будет распространяться по всей игре. Скорость заражения влияет на то, как быстро будут появляться враги, и в конечном счете определяет скорость, с которой будет происходить эволюция врагов, если только настройка Эволюции не настроена таким образом, чтобы она зависела от прогресса игрока."
DifficultySetting_Tooltip_Combat,"Меожитель Боя определяет сложность боевых столкновений и влияет на множители урона и защиты для врагов, встречающихся в игре"
DifficultySetting_Tooltip_CampResource,"The camp resource usage level determines how extensively the camp utilizes its resources for power, water, and ration production. Lowering the level decreases resource consumption, while raising it increases consumption. When set to its lowest level, the camp ceases to consume any resources, effectively disabling the camp management feature of the game. The lowest setting caters to players who prefer not to engage with the camp management aspect of gameplay. Under this condition, camp productivity remains consistently set to 'Good,' making the game slightly easier."
DifficultySetting_Tooltip_ProductionCost,"The production cost determines whether players need to spend in-game currency, 'Credits,' when utilizing the camp's production features such as Research, Crafting, and Recycling. Disabling this feature will increase the purchase value of items from NPCs and the camp, making them more costly. However, it also means players will require fewer credits throughout the game, thereby making the overall gameplay easier. If you prioritize immersion, you may also consider disabling production credit costs to better align with the game's immersive experience."
DifficultySetting_Tooltip_Invasion,"The invasion setting determines whether evolving enemies will periodically attack the player's camp in an attempt to destroy the reactor. Losing the reactor facility results in another game over scenario. If you prefer to explore the world without the pressure of timely invasions, you can disable this feature. Disabling the invasion makes the game slightly easier."
DifficultySetting_Tooltip_MapTracking,"The game is designed to encourage self-exploration to discover hidden objects throughout the game. However, it can sometimes be challenging to locate specific spots for important items. This setting marks icons on the map when players encounter main story-related objects, such as main quests and facility upgrades, making them easier to find. It's important to note that this setting does not apply to side quests."
DifficultySetting_Tooltip_Evolution,"The Evolution setting determines how evolving creatures behave in the game. 'Natural' means that creatures will evolve over time based on the natural build-up of infection in the world. Setting it to 'player's progression based' means that evolution speed and level will be determined by the player's character level progression. Choose the 'player-based' option if you prefer to explore the world with less pressure on turns, thereby making the game easier."
DifficultySetting_FirstTimeOldSave,"Your save game predates the implementation of the difficulty setting for the first time in the game. Therefore, you are provided with a one-time opportunity to review the settings and make changes without any penalties. While some difficulty settings can be altered afterward (Except Evolution Progression and Production Cost), doing so will disable the ability to earn achievements at the end of the game."
DifficultySetting_DuringGame,"You are allowed to change some difficulty settings during the course of the game. However, please note that changing the difficulty setting after starting a new game will disable the ability to earn achievements at the end of the game."
