Language,Default
30_Usable_08_IDTag_Female_Asian_Pilot_02_NameKey,Yumi Sonoda's ID Tag
30_Usable_08_IDTag_Female_Asian_Pilot_02_DescKey,An ID Tag belonging to Yumi Sonoda.

30_Usable_08_IDTag_Female_Asian_Pilot_01_NameKey,Lin Hui Tong's ID Tag
30_Usable_08_IDTag_Female_Asian_Pilot_01_DescKey,An ID Tag belonging to Lin Hui Tong.

30_Usable_08_IDTag_Female_Asian_Miner_02_NameKey,Junhui Chen's ID Tag
30_Usable_08_IDTag_Female_Asian_Miner_02_DescKey,An ID Tag belonging to Junhui Chen.

30_Usable_08_IDTag_Female_Asian_Miner_01_NameKey,Jampa Namgang's ID Tag
30_Usable_08_IDTag_Female_Asian_Miner_01_DescKey,An ID Tag belonging to Jampa Namgang.

30_Usable_08_IDTag_Female_Asian_Engineer_02_NameKey,Dhia Chung's ID Tag
30_Usable_08_IDTag_Female_Asian_Engineer_02_DescKey,An ID Tag belonging to Dhia Chung.

30_Usable_08_IDTag_Female_Asian_Engineer_01_NameKey,Minhee Mok's ID Tag
30_Usable_08_IDTag_Female_Asian_Engineer_01_DescKey,An ID Tag belonging to Minhee Mok.

30_Usable_08_IDTag_Female_Asian_Doctor_02_NameKey,Aoi Takara's ID Tag
30_Usable_08_IDTag_Female_Asian_Doctor_02_DescKey,An ID Tag belonging to Aoi Takara.

30_Usable_08_IDTag_Female_Asian_Doctor_01_NameKey,Tala Baccay's ID Tag
30_Usable_08_IDTag_Female_Asian_Doctor_01_DescKey,An ID Tag belonging to Tala Baccay.
